competition,compobjid,hometeamid,awayteamid,hometeam,homescore,awayscore,awayteam,date,time
Saudi Pro League,1645,113217,113222,Damac,TBD,TBD,Al Hazem,20260206,1730
Saudi Pro League,1645,112883,113037,Al Khaleej,TBD,TBD,Al Riyadh,20260207,1600
Saudi Pro League,1645,115892,113060,Al Najmah,TBD,TBD,Al Okhdood,20260206,1730
Saudi Pro League,1645,607,131798,Al Ittihad,TBD,TBD,Neom,20260207,1400
Saudi Pro League,1645,131735,112390,Al Kholood,TBD,TBD,Al Fateh,20260207,1600
Saudi Pro League,1645,112391,112393,Al Qadsiah,TBD,TBD,Al Taawoun,20260207,1600
Saudi Pro League,1645,112096,111674,Al Ettifaq,TBD,TBD,Al Shabab,20260207,1600
Saudi Pro League,1645,113057,112139,Al Fayha,TBD,TBD,Al Nassr,20260206,1730
Saudi Pro League,1645,112387,112393,Al Ahli,TBD,TBD,Al Taawoun,20260213,1730
Saudi Pro League,1645,111674,112390,Al Shabab,TBD,TBD,Al Fateh,20260214,1400
Saudi Pro League,1645,112139,131798,Al Nassr,TBD,TBD,Neom,20260214,1600
Saudi Pro League,1645,113057,113060,Al Fayha,TBD,TBD,Al Okhdood,20260213,1730
Saudi Pro League,1645,112096,113037,Al Ettifaq,TBD,TBD,Al Riyadh,20260213,1730
Saudi Pro League,1645,112391,113222,Al Qadsiah,TBD,TBD,Al Hazem,20260213,1730
Saudi Pro League,1645,131735,605,Al Kholood,TBD,TBD,Al Hilal,20260214,1600
Saudi Pro League,1645,607,113217,Al Ittihad,TBD,TBD,Damac,20260214,1600
Saudi Pro League,1645,115892,112883,Al Najmah,TBD,TBD,Al Khaleej,20260213,1730
Saudi Pro League,1645,115892,112387,Al Najmah,TBD,TBD,Al Ahli,20260216,1600
Saudi Pro League,1645,112883,607,Al Khaleej,TBD,TBD,Al Ittihad,20260217,1700
Saudi Pro League,1645,113217,131735,Damac,TBD,TBD,Al Kholood,20260217,1400
Saudi Pro League,1645,605,112391,Al Hilal,TBD,TBD,Al Qadsiah,20260217,1400
Saudi Pro League,1645,113222,112096,Al Hazem,TBD,TBD,Al Ettifaq,20260216,1600
Saudi Pro League,1645,113037,113057,Al Riyadh,TBD,TBD,Al Fayha,20260216,1800
Saudi Pro League,1645,113060,112139,Al Okhdood,TBD,TBD,Al Nassr,20260217,1700
Saudi Pro League,1645,131798,111674,Neom,TBD,TBD,Al Shabab,20260217,1400
Saudi Pro League,1645,112390,112393,Al Fateh,TBD,TBD,Al Taawoun,20260217,1700
Saudi Pro League,1645,112387,112139,Al Ahli,TBD,TBD,Al Nassr,20260221,1400
Saudi Pro League,1645,113057,111674,Al Fayha,TBD,TBD,Al Shabab,20260220,1730
Saudi Pro League,1645,112096,112393,Al Ettifaq,TBD,TBD,Al Taawoun,20260220,1730
Saudi Pro League,1645,112391,112390,Al Qadsiah,TBD,TBD,Al Fateh,20260221,1600
Saudi Pro League,1645,131735,131798,Al Kholood,TBD,TBD,Neom,20260221,1400
Saudi Pro League,1645,607,113060,Al Ittihad,TBD,TBD,Al Okhdood,20260221,1600
Saudi Pro League,1645,115892,113037,Al Najmah,TBD,TBD,Al Riyadh,20260220,1730
Saudi Pro League,1645,112883,113222,Al Khaleej,TBD,TBD,Al Hazem,20260221,1400
Saudi Pro League,1645,113217,605,Damac,TBD,TBD,Al Hilal,20260221,1600
Saudi Pro League,1645,113217,112387,Damac,TBD,TBD,Al Ahli,20260228,1600
Saudi Pro League,1645,605,112883,Al Hilal,TBD,TBD,Al Khaleej,20260227,1730
Saudi Pro League,1645,113222,115892,Al Hazem,TBD,TBD,Al Najmah,20260228,1400
Saudi Pro League,1645,113037,607,Al Riyadh,TBD,TBD,Al Ittihad,20260227,1730
Saudi Pro League,1645,113060,131735,Al Okhdood,TBD,TBD,Al Kholood,20260228,1600
Saudi Pro League,1645,131798,112391,Neom,TBD,TBD,Al Qadsiah,20260227,1730
Saudi Pro League,1645,112390,112096,Al Fateh,TBD,TBD,Al Ettifaq,20260227,1730
Saudi Pro League,1645,112393,113057,Al Taawoun,TBD,TBD,Al Fayha,20260228,1400
Saudi Pro League,1645,111674,112139,Al Shabab,TBD,TBD,Al Nassr,20260228,1600
Saudi Pro League,1645,605,112387,Al Hilal,TBD,TBD,Al Ahli,20260307,1600
Saudi Pro League,1645,113222,113217,Al Hazem,TBD,TBD,Damac,20260307,1400
Saudi Pro League,1645,113037,112883,Al Riyadh,TBD,TBD,Al Khaleej,20260306,1730
Saudi Pro League,1645,113060,115892,Al Okhdood,TBD,TBD,Al Najmah,20260306,1730
Saudi Pro League,1645,131798,607,Neom,TBD,TBD,Al Ittihad,20260307,1400
Saudi Pro League,1645,112390,131735,Al Fateh,TBD,TBD,Al Kholood,20260307,1400
Saudi Pro League,1645,112393,112391,Al Taawoun,TBD,TBD,Al Qadsiah,20260306,1730
Saudi Pro League,1645,111674,112096,Al Shabab,TBD,TBD,Al Ettifaq,20260307,1400
Saudi Pro League,1645,112139,113057,Al Nassr,TBD,TBD,Al Fayha,20260307,1600
Saudi Pro League,1645,112387,112390,Al Ahli,TBD,TBD,Al Fateh,20260314,1600
Saudi Pro League,1645,112393,131798,Al Taawoun,TBD,TBD,Neom,20260313,1730
Saudi Pro League,1645,111674,113060,Al Shabab,TBD,TBD,Al Okhdood,20260314,1400
Saudi Pro League,1645,112139,113037,Al Nassr,TBD,TBD,Al Riyadh,20260313,1730
Saudi Pro League,1645,113057,113222,Al Fayha,TBD,TBD,Al Hazem,20260314,1600
Saudi Pro League,1645,112096,605,Al Ettifaq,TBD,TBD,Al Hilal,20260314,1600
Saudi Pro League,1645,112391,113217,Al Qadsiah,TBD,TBD,Damac,20260314,1400
Saudi Pro League,1645,131735,112883,Al Kholood,TBD,TBD,Al Khaleej,20260314,1400
Saudi Pro League,1645,607,115892,Al Ittihad,TBD,TBD,Al Najmah,20260313,1730
Saudi Pro League,1645,607,112387,Al Ittihad,TBD,TBD,Al Ahli,20260320,1730
Saudi Pro League,1645,115892,131735,Al Najmah,TBD,TBD,Al Kholood,20260320,1730
Saudi Pro League,1645,112883,112391,Al Khaleej,TBD,TBD,Al Qadsiah,20260321,1600
Saudi Pro League,1645,113217,112096,Damac,TBD,TBD,Al Ettifaq,20260321,1400
Saudi Pro League,1645,605,113057,Al Hilal,TBD,TBD,Al Fayha,20260321,1600
Saudi Pro League,1645,113222,112139,Al Hazem,TBD,TBD,Al Nassr,20260321,1600
Saudi Pro League,1645,113037,111674,Al Riyadh,TBD,TBD,Al Shabab,20260321,1400
Saudi Pro League,1645,113060,112393,Al Okhdood,TBD,TBD,Al Taawoun,20260321,1400
Saudi Pro League,1645,131798,112390,Neom,TBD,TBD,Al Fateh,20260321,1400
Saudi Pro League,1645,112387,113037,Al Ahli,TBD,TBD,Al Riyadh,20260403,1730
